"code";"text";"markdown"
"Adamczewski1951";"Adamczewski, S., 1951. On the systematics and origin of the generic group Oxyptilus Zeller (Lep. Alucitidae). — Bulletin of the British Museum of natural History (Entomology) 1: 303-387.";"**Adamczewski, S.**, 1951. On the systematics and origin of the generic group *Oxyptilus* Zeller (Lep. Alucitidae). - *Bulletin of the British Museum of natural History* (Entomology) **1**: 303-387."
"Agassiz1985";"Agassiz, D. J. L., 1985. Douglasiidae. In: Heath, J. & Emmet, A. M. (Eds.): The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae. — Harley Books, Colchester, 460 p. (2 pls., 11 colour plates).";"**Agassiz, D. J. L.**, 1985. Douglasiidae. In: Heath, J. &amp; Emmet, A. M. (Eds.): *The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae*. - Harley Books, Colchester, 460 p. (2 pls., 11 colour plates)."
"Agassiz1986";"Agassiz, D. J. L., 1986. The British Argyresthiinae and Yponomeutidae. — Proceedings and Transactions of the British Entomological and Natural History Society 20: 1-26.";"**Agassiz, D. J. L.**, 1986. The British Argyresthiinae and Yponomeutidae. - *Proceedings and Transactions of the British Entomological and Natural History Society* **20**: 1-26."
"Agassiz1996";"Agassiz, D. J. L., 1996. Yponomeutidae. In: Emmet, A. M. (ed.): The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae. — Harley Books, Colchester, 452 p.";"**Agassiz, D. J. L.**, 1996. Yponomeutidae. In: Emmet, A. M. (ed.): *The Moths and Butterflies of Great Britain and Ireland. Volume 3: Yponomeutidae - Elachistidae*. - Harley Books, Colchester, 452 p."
"Amsel1935";"Amsel, H. G., 1935. Die paläarktischen Isophrictis-Arten (Lepidoptera: Gelechiidae). — Veröffentlichungen aus dem deutschen Kolonial- und Übersee-Museum in Bremen 1: 369-376.";"**Amsel, H. G**., 1935. Die pal&auml;arktischen *Isophrictis*-Arten (Lepidoptera: Gelechiidae). - *Ver&ouml;ffentlichungen aus dem deutschen Kolonial- und &Uuml;bersee-Museum in Bremen*  **1**: 369-376."
"Arenberger1977";"Arenberger, E., 1977. Die palaearktischen Agdistis-Arten (Lepidoptera, Pterophoridae). — Beiträge zur naturkundlichen Forschung in Südwestdeutschland 36: 185-226.";"**Arenberger, E.**, 1977. Die palaearktischen *Agdistis*-Arten (Lepidoptera, Pterophoridae). - *Beitr&auml;ge zur naturkundlichen Forschung in S&uuml;dwestdeutschland* **36**: 185-226."
"Arenberger1995";"Arenberger, E., 1995. Pterophoridae 1. Teilband der Pterophoridae. In: Amsel, H. G., Gregor, F. & Reisser, H.: Microlepidoptera Palaearctica 9, 2 Bände. — Verlag G. Braun, Karlsruhe, 258 p., 153 plates.";"**Arenberger, E.**, 1995. Pterophoridae 1. Teilband der Pterophoridae. In: Amsel, H. G., Gregor, F. &amp; Reisser, H.: *Microlepidoptera Palaearctica* **9**, 2 B&auml;nde. - Verlag G. Braun, Karlsruhe, 258 p., 153 plates."
"Arenberger2002";"Arenberger, E., 2002. Pterophoridae 2. Teilband der Pterophoridae. In: Amsel, H. G., Gregor, F. & Reisser, H.: Microlepidoptera Palaearctica 11. — Verlag Goecke & Evers, Keltern, 287 pp., incl 8 colour plates.";"**Arenberger, E.**, 2002. Pterophoridae 2. Teilband der Pterophoridae. In: Amsel, H. G., Gregor, F. &amp; Reisser, H.: *Microlepidoptera Palaearctica* **11**. - Verlag Goecke &amp; Evers, Keltern, 287 pp., incl 8 colour plates."
"Back1973";"Back, H.-E., 1973. Untersuchungen über die Systematik und Zoogeographie der Gattung Pleurota (Lepidoptera: Oecophoridae). — Saarbrücken, 414 p.";"**Back, H.-E.**, 1973. Untersuchungen &uuml;ber die Systematik und Zoogeographie der Gattung *Pleurota* (Lepidoptera: Oecophoridae). - Saarbr&uuml;cken, 414 p."
"Baker1985";"Baker, B. R., 1985. Family Sesiidae. In: Heath, J. & Emmet, A. M. (Eds.): The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae. — Harley Books, Colchester, 460 p. (2 pls, 11 colour plates).";"**Baker, B. R.**, 1985. Family Sesiidae. In: Heath, J. &amp; Emmet, A. M. (Eds.): *The Moths and Butterflies of Great Britain and Ireland 2. Cossidae - Heliodinidae*. - Harley Books, Colchester, 460 p. (2 pls, 11 colour plates)."
