family;code;sName;oName;WV;OV;AN;LI;BR;HA;NA;LG;LX;
Acrolepiidae;Aautumnitella;Acrolepia autumnitella Curtis, 1838;"= pygmeana (Haworth, 1811), nec (Hübner, 1799)";6;6;7;7;7;7;7;7;7;
Acrolepiidae;Aassectella;Acrolepiopsis assectella (Zeller, 1839);"= vigeliella (Duponchel, 1842)
= betulella sensu Sauveur & Fologne, 1863,nec (Curtis, 1850)";4;6;5;5;5;6;6;6;1;
Acrolepiidae;;Digitivalva arnicella (Heyden, 1863);;;;;;;;;;1;
Acrolepiidae;Dgranitella;Digitivalva granitella (Treitschke, 1833);;;1;;;1;;5;6;7;
Acrolepiidae;;Digitivalva pulicariae (Klimesch, 1956);;7;;;;1;7;6;6;;
Acrolepiidae;;Digitivalva reticulella (Hübner, 1796);"= cariosella (Treitschke, 1835)";;;;;1;;;;;
Adelidae;Acroesella;Adela croesella (Scopoli, 1763);"= sultzella (Linnaeus, 1767)";7;;5;7;6;7;5;4;7;
Adelidae;Acuprella;Adela cuprella ([Denis & Schiffermüller], 1775);;4;4;5;4;6;;4;4;4;
Adelidae;Areaumurella;Adela reaumurella (Linnaeus, 1758);"= viridella (Scopoli, 1763)";5;5;5;5;5;5;5;5;5;
Adelidae;Aviolella;Adela violella ([Denis & Schiffermüller], 1775);"= tombacinella (Herrich-Schäffer, 1855)";7;;7;7;2;7;4;5;5;
Adelidae;Cfibulella;Cauchas fibulella ([Denis & Schiffermüller], 1775);;7;7;7;7;5;;4;7;4;
Adelidae;Crufimitrella;Cauchas rufimitrella (Scopoli, 1763);;7;7;4;7;6;7;5;6;4;
Adelidae;Nadansoniella;Nematopogon adansoniella (De Villers, 1789);"= panzerella (Fabricius, 1794)";7;7;6;7;6;7;5;7;7;
Adelidae;Nmetaxella;Nematopogon metaxella (Hübner, 1813);;7;6;4;1;5;;4;5;5;
Adelidae;;Nematopogon pilella ([Denis & Schiffermüller], 1775);;;;;;1;;1;;;
Adelidae;Nrobertella;Nematopogon robertella (Clerck, 1759);"= pilulella (Hübner, 1813)";7;7;5;7;6;;5;6;5;
Adelidae;;Nematopogon schwarziellus Zeller, 1839;;;;;;2;;2;3;2;
Adelidae;Nswammerdamella;Nematopogon swammerdamella (Linnaeus, 1758);;4;5;5;6;5;5;5;5;5;
Adelidae;Nassociatella;Nemophora associatella (Zeller, 1839);;;;;;;;7;7;7;
Adelidae;;Nemophora congruella (Zeller, 1839);;;;;;;;;1;;
Adelidae;;Nemophora cupriacella (Hübner, 1819);;;;6;;6;;;;1;
Adelidae;Ndegeerella;Nemophora degeerella (Linnaeus, 1758);;5;5;5;5;5;6;5;5;5;
Adelidae;;Nemophora dumerilella (Duponchel, 1839);;;;;;;;1;;;
Adelidae;;Nemophora fasciella (Fabricius, 1775);"= cypriacella (Duponchel, 1844)";;;;;1;;;;;
Adelidae;Nmetallica;Nemophora metallica (Poda, 1761);"= scabiosella (Scopoli, 1763)";;1;1;1;1;7;5;5;5;
Adelidae;;Nemophora minimella ([Denis & Schiffermüller], 1775);;;;;;1;;6;;7;
Adelidae;Nochsenheimerella;Nemophora ochsenheimerella (Hübner, 1813);;7;7;7;7;7;;4;5;4;
Agonoxenidae;;Blastodacna atra (Haworth, 1828);"= putripennella (Zeller, 1839)
= putridella sensu De Crombrugghe, 1906";7;1;6;;7;;7;;1;
Agonoxenidae;Bhellerella;Blastodacna hellerella (Duponchel, 1838);;1;1;2;7;6;6;7;1;;
