family;description;identification;nomenclature
Acrolepiidae;This family has been included by some authors inthe Plutellidae or in the Yponomeutidae, but the phylogeneticrelationships in this group are still uncertain [Scoble 1992: 238](Scoble1992).;[Agassiz 1996](Agassiz1996), [Buszko & Baraniak 1985](BuszkoBaraniak1985), [Ford1950](Ford1950), [Gaedike1970a](Gaedike1970a), [b](Gaedike1970b), [Gozmány1956](Gozmany1956), [Palm1974](Palm1974), [Zagulyaev1990d](Zagulyaev1990d).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Adelidae;Species of this family are characterised by their particularly long antennae.The family has a world-wide distribution [Scoble 1992: 214](Scoble1992).;[Benander 1953](Benander1953), [Gozmány 1965](Gozmany1965), [Heath & PelhamClinton1976](HeathPelhamClinton 1976), [Jacobs 1948](Jacobs1948), [Kuppers1980](Kuppers 1980), [Nielsen1985](Nielsen1985), [Razowski1978](Razowski1978), [Wojtusiak1972](Wojtusiak1972), [Zagulyaev1989g](Zagulyaev1989g).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Agonoxenidae;This small family consists of two subfamilies, Agonoxeninae andBlastodacninae, of which only the latter is represented in theHolarctic region [Scoble 1992: 247](Scoble1992).;[Diakonoff & Doets 1938](DiakonoffDoets1938), [Gozmány1958](Gozmany1958), [Koster2002b](Koster2002b), [Koster & Sinev 2003](KosterSinev2003), [Riedl1969](Riedl1969), [1984](Riedl1984), [Zagulyaev & Sinev 1990a](ZagulyaevSinev1990a).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Alucitidae;There are about 130 described species, of which most occur in temperate or warm regions [Scoble 1992: 279](Scoble1992).;[Buszko 1977](Buszko1977), [Ford 1953](Ford1953), [Gozmány 1955a](Gozmany1955a), [Scholz & Jäckh 1994](ScholzJackh1994), [Zagulyaev 1986](Zagulyaev1986).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Amphisbatidae;This small family used to be included in the Oecophoridae, which wasprobably not monophyletic.;[Benander 1928a](Benander1928a), [b](Benander1928b), [Buszko 1978](Buszko1978), [De Prins1988](DePrins1988), [Falkovitch1990](Falkovitch1990), [Ford1954](Ford1954), [Friese1973](Friese1973), [Gozmány1955](Gozmany1955), [1958](Gozmany1958), [Hannemann1953](Hannemann1953), [1995](Hannemann1995), [Jäckh 1972a](Jackh1972a),[b](Jackh1972b), [Jacobs 1949](Jacobs1949), [1950](Jacobs1950), [1955](Jacobs1955), [Kasy 1973](Kasy1973), [Lvovsky1990](Lvovsky1990), [Palm1973](Palm1973), [1975](Palm1975), [1978](Palm1978), [1989](Palm1989), [Riedl 1984](Riedl1984), [Toll 1956](Toll1956), [1964](Toll1964), [Zagulyaev1990b](Zagulyaev1990b).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Arctiidae;Arctiidae include about 11000 species of which about 6000 species occur in the Neotropics, though the family is represented in all major zoogeographical regions. The Lithosiinae, with about 2000 species, are mainly tropical. Ctenuchinae are often treated as a separate family. They also include about 2000 species of mainly tropical distribution. Arctiinae, again with around 2000 species, may not be monophyletic [Scoble 1992: 334](Scoble1992).;[de Freina & Witt 1987](deFreinaWitt1987), [Forster & Wohlfahrt 1960](ForsterWohlfahrt1960), [Hoffmeyer 1974](Hoffmeyer1974), [Koch 1964](Koch1964), [Kozhantshikov1950](Kozhantshikov1950), [Razowski1971](Razowski1971), [Skinner1984](Skinner1984).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Autostichidae;Autostichidae is a small family, mainly Indo-Australian. It includes genera that had been placed in Gelechiidae, Xyloryctidae or Symmocidae [Scoble 1992: 243](Scoble1992).;[Benander 1928b](Benander1928b), [Bland 2002](Bland2002), [Buszko 1978](Buszko1978), [Gozmány1958](Gozmany1958), [Jacobs1950](Jacobs1950), [Piskunov1990a](Piskunov1990a).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Batrachedridae;According to [Hodges ](Hodges1978)1978)this family belongs as a separate subfamily in the Coleophoridae. The genus Batrachedra is represented in all the main zoogeographical regions [Scoble 1992: 247](Scoble1992).;[Gozmány 1958](Gozmany1958), [Jacobs 1950](Jacobs1950), [Koster2002a](Koster2002a), [Koster & Sinev 2003](KosterSinev2003), [Riedl1969](Riedl1969), [1984](Riedl1984), [Zagulyaev & Sinev 1990a](ZagulyaevSinev1990a).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Bedelliidae;This family is sometimes included as a separate subfamily in the Lyonetiidae [Scoble 1992: 239](Scoble1992).;[Brown 1953](Brown1953), [Buszko 1981b](Buszko1981b), [Emmet 1985](Emmet1985), [Seksyaeva 1990c](Seksyaeva1990c).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
Blastobasidae;Blastobasidae include more than 300 species. The family is distributed worldwide, but its greatest diversity is in the tropics and subtropics [Scoble 1992: 247](Scoble1992).;[Benander 1928a](Benander1928a), [Buszko 1978](Buszko1978), [Dickson2002](Dickson2002), [Gozmány1958](Gozmany1958), [Jacobs1950](Jacobs1950), [Piskunov1990a](Piskunov1990a).;Nomenclature according to [Fauna Europeae](http://www.faunaeur.org)
